en-US,en-US_tags,en-US_source_type,en-US_collection_id,es,es_tags,es_source_type,es_collection_id,fr,fr_tags,fr_source_type,fr_collection_id,ja,ja_tags,ja_source_type,ja_collection_id,nan-TW,nan-TW_tags,nan-TW_source_type,nan-TW_collection_id,yue-HK,yue-HK_tags,yue-HK_source_type,yue-HK_collection_id,zh-CN,zh-CN_tags,zh-CN_source_type,zh-CN_collection_id,zh-TW,zh-TW_tags,zh-TW_source_type,zh-TW_collection_id
Browse expressions to add,collections.browseExpressions,ai,1000000,Explorar expresiones para añadir,collections.browseExpressions,ai,1000000,Parcourir les expressions à ajouter,collections.browseExpressions,ai,1000000,追加する表現を閲覧,collections.browseExpressions,ai,1000000,瀏覽語詞來加入,collections.browseExpressions,ai,1000000,瀏覽詞句加入,collections.browseExpressions,ai,1000000,去搜索并添加表达式,collections.browseExpressions,ai,1000000,去搜尋並增加表達式,collections.browseExpressions,ai,1000000
New Collection,collections.createTitle,ai,1000000,Nueva colección,collections.createTitle,ai,1000000,Nouvelle collection,collections.createTitle,ai,1000000,新しいコレクション,collections.createTitle,ai,1000000,新收藏,collections.createTitle,ai,1000000,新收藏,collections.createTitle,ai,1000000,新建收藏集,collections.createTitle,ai,1000000,新建收藏集,collections.createTitle,ai,1000000
What is this collection about?,collections.descPlaceholder,ai,1000000,¿De qué trata esta colección?,collections.descPlaceholder,ai,1000000,De quoi parle cette collection ?,collections.descPlaceholder,ai,1000000,このコレクションについて何ですか？,collections.descPlaceholder,ai,1000000,這個收藏是關於啥物？,collections.descPlaceholder,ai,1000000,呢個收藏係關於咩？,collections.descPlaceholder,ai,1000000,这个收藏集是关于什么的？,collections.descPlaceholder,ai,1000000,這個收藏集是關於什麼的？,collections.descPlaceholder,ai,1000000
Edit Collection,collections.editTitle,ai,1000000,Editar colección,collections.editTitle,ai,1000000,Modifier la collection,collections.editTitle,ai,1000000,コレクションを編集,collections.editTitle,ai,1000000,編輯收藏,collections.editTitle,ai,1000000,編輯收藏,collections.editTitle,ai,1000000,编辑收藏集,collections.editTitle,ai,1000000,編輯收藏集,collections.editTitle,ai,1000000
Create your first collectoion to start organizing expressions.,collections.emptyInfo,ai,1000000,Crea tu primera colección para comenzar a rganizar expresiones.,collections.emptyInfo,ai,1000000,Créez votre première collection pour commencer à organiser les expressions.,collections.emptyInfo,ai,1000000,最初のコレクションを作成して、表現を整理し始めましょう。,collections.emptyInfo,ai,1000000,建立汝个第一个收藏，開始整理語詞。,collections.emptyInfo,ai,1000000,建立你第一個收藏，開始整理詞句。,collections.emptyInfo,ai,1000000,创建您的第一个收藏集来开始管理表达式。,collections.emptyInfo,ai,1000000,建立您的第一個收藏集來開始管理表達式。,collections.emptyInfo,ai,1000000
e.g. My Favorites,collections.namePlaceholder,ai,1000000,Ej: Mis favoritos,collections.namePlaceholder,ai,1000000,Ex : Mes favoris,collections.namePlaceholder,ai,1000000,例: お気に入り,collections.namePlaceholder,ai,1000000,比如：我个最愛,collections.namePlaceholder,ai,1000000,例如：我最喜愛,collections.namePlaceholder,ai,1000000,例如：我的最爱,collections.namePlaceholder,ai,1000000,例如：我的最愛,collections.namePlaceholder,ai,1000000
No description provided.,collections.noDescription,ai,1000000,No se proporcionó descripción.,collections.noDescription,ai,1000000,Aucune description fournie.,collections.noDescription,ai,1000000,説明が提供されていません。,collections.noDescription,ai,1000000,無提供說明。,collections.noDescription,ai,1000000,未提供說明。,collections.noDescription,ai,1000000,暂无描述。,collections.noDescription,ai,1000000,暫無描述。,collections.noDescription,ai,1000000
Collection not found,collections.notFound,ai,1000000,Colección no encontrada,collections.notFound,ai,1000000,Collection introuvable,collections.notFound,ai,1000000,コレクションが見つかりません,collections.notFound,ai,1000000,無揣著收藏,collections.notFound,ai,1000000,搵唔到收藏,collections.notFound,ai,1000000,未找到收藏集,collections.notFound,ai,1000000,未找到收藏集,collections.notFound,ai,1000000
About,nav.about,ai,1000000,Acerca de,nav.about,ai,1000000,À propos,nav.about,ai,1000000,概要,nav.about,ai,1000000,關於,nav.about,ai,1000000,關於,nav.about,ai,1000000,关于,nav.about,ai,1000000,關於,nav.about,ai,1000000
Copy reference translation to target,translate.copyReference,ai,1000000,Copiar la traducción de referencia al objetivo,translate.copyReference,ai,1000000,Copiar la traducción de référence al objetivo,translate.copyReference,ai,1000000,参照翻訳を対象にコピー,translate.copyReference,ai,1000000,拷貝參考翻譯到目標,translate.copyReference,ai,1000000,將參考翻譯複製到目標,translate.copyReference,ai,1000000,将参考翻译复制到目标,translate.copyReference,ai,1000000,將參考翻譯複製到目標,translate.copyReference,ai,1000000
Browse expressions to add,collections.browseExpressions,ai,1000000,Explorar expresiones para añadir,collections.browseExpressions,ai,1000000,Parcourir les expressions à ajouter,collections.browseExpressions,ai,1000000,追加する表現を閲覧,collections.browseExpressions,ai,1000000,瀏覽語詞來加入,collections.browseExpressions,ai,1000000,瀏覽詞句加入,collections.browseExpressions,ai,1000000,去搜索并添加表达式,collections.browseExpressions,ai,1000000,去搜尋並增加表達式,collections.browseExpressions,ai,1000000
New Collection,collections.createTitle,ai,1000000,Nueva colección,collections.createTitle,ai,1000000,Nouvelle collection,collections.createTitle,ai,1000000,新しいコレクション,collections.createTitle,ai,1000000,新收藏,collections.createTitle,ai,1000000,新收藏,collections.createTitle,ai,1000000,新建收藏集,collections.createTitle,ai,1000000,新建收藏集,collections.createTitle,ai,1000000
