分類,zh-CN,zh-TW,zh-HK
交通,地铁,捷運,港鐵
交通,公交车,公車,巴士
交通,出租车,計程車,的士
交通,自行车,腳踏車,單車
交通,电动车,電動車,電單車
交通,电瓶车,電動車,電單車
交通,站台,月台,月台
交通,车厢,車廂,車卡
交通,红绿灯,紅綠燈,交通燈
交通,人行道,人行道,行人路
交通,过街天桥,天橋,行人天橋
交通,收费站,收費站,收費廣場
交通,地下通道,地下道,隧道
交通,检票口,驗票口,閘口
交通,候车室,候車室,候車大堂
交通,驾驶证,駕照,駕駛執照
交通,限速,速限,限速
交通,掉头,迴轉,掉頭
交通,服务区,休息站,服務區
交通,加油站,加油站,油站
交通,违章,違規,違例
科技,手机,手機,手提電話
科技,软件,軟體,軟件
科技,硬件,硬體,硬件
科技,U盘,隨身碟,USB手指
科技,笔记本电脑,筆電,手提電腦
科技,鼠标,滑鼠,滑鼠
科技,键盘,鍵盤,鍵盤
科技,账号,帳號,帳戶
科技,注册,註冊,登記
科技,注销,註銷,取消戶口
科技,短信,簡訊,短訊
科技,上传,上傳,上載
科技,网盘,雲端硬碟,網上儲存
科技,刷新,重新整理,重新整理
科技,重启,重新啟動,重新啟動
科技,插件,外掛,插件
科技,程序,程式,程式
科技,数据库,資料庫,資料庫
科技,缓存,快取,快取
科技,截图,截圖,擷取畫面
科技,界面,介面,介面
科技,服务器,伺服器,伺服器
科技,域名,網域,域名
科技,流量,流量,數據用量
教育,小学,國小,小學
教育,辅导员,輔導老師,訓導主任
教育,班主任,導師,班主任
教育,作业,作業,功課
教育,研究生,研究所學生,研究生
教育,专业,科系,主修
教育,选修课,選修課,選修科
教育,必修课,必修課,必修科
教育,校长,校長,校長
教育,家长会,家長會,家長日
教育,奖学金,獎學金,獎學金
教育,实习,實習,實習
商业,快递,宅配,速遞
商业,外卖,外送,外賣
商业,发票,發票,收據
商业,收银台,收銀台,收銀處
商业,客服,客服,客戶服務
商业,会员,會員,會員
商业,银行卡,金融卡,銀行卡
商业,转账,轉帳,過數
商业,余额,餘額,結餘
商业,退货,退貨,退貨
商业,打包,打包,外賣帶走
商业,菜单,菜單,餐牌
商业,结账,結帳,埋單
商业,优惠券,優惠券,優惠券
商业,批发,批發,批發
生活,土豆,馬鈴薯,薯仔
生活,菠萝,鳳梨,菠蘿
生活,方便面,泡麵,即食麵
生活,冰箱,冰箱,雪櫃
生活,空调,冷氣,冷氣機
生活,洗手间,廁所,洗手間
生活,卫生纸,衛生紙,廁紙
生活,电梯,電梯,升降機
生活,小区,社區,屋苑
生活,单元楼,公寓,唐樓
生活,塑料袋,塑膠袋,膠袋
生活,垃圾袋,垃圾袋,垃圾袋
生活,快餐,速食,快餐
生活,外套,外套,褸
生活,拖鞋,拖鞋,拖鞋
生活,勺子,湯匙,羹
生活,被子,棉被,被鋪
生活,暖气,暖氣,暖氣
生活,晾衣架,曬衣架,晾衫架
饮食,盒饭,便當,飯盒
饮食,米饭,白飯,白飯
饮食,面条,麵條,麵
饮食,饮料,飲料,飲品
饮食,矿泉水,礦泉水,礦泉水
饮食,吸管,吸管,飲管
饮食,点菜,點菜,落單
饮食,甜品,甜點,甜品
饮食,土司,吐司,多士
饮食,玉米,玉米,粟米
网络,博主,部落客,Blog主
网络,博客,部落格,Blog
网络,点赞,按讚,畀Like
网络,关注,追蹤,追蹤
网络,粉丝,粉絲,粉絲
网络,帖子,貼文,帖文
网络,论坛,論壇,討論區
网络,私信,私訊,私訊
网络,网红,網紅,KOL
网络,群聊,群組聊天,群組
行政,户口,戶籍,戶口
行政,派出所,派出所,警署
行政,营业执照,營業登記,商業登記證
行政,社保,勞保,強積金
行政,医保,健保,醫療保險
行政,签证,簽證,簽證
