src,tgt
デフォルトの GNOME テーマ,Default GNOME Theme
アート,Art
カメラ,Camera
クール ！,Cool
危険,Danger
草稿,Draft
買い物,Marketing
お金,Money
メモ,Note
もう 、 いや ！,Oh no !
人々,People
プラン,Plan
お気に入り,Favourite
全般,Generic
重要,Important
メール,Mail
新規,New
パッケージ,Package
書き込み不可,No write
緊急,Urgent
ウェブ,Web
特別,Special
名前,Name
表示,Show
アイテム,Item
メイン ・ メニュー,Main Menu
上へ,Move Up
下へ,Move Down
名前,Name :
アクセラレータのラベル,accelerator label
警告,alert
アニメーション,animation
矢印,arrow
チェック ・ ボックス,check box
チェック ・ メニュー項目,check menu item
コンボ ・ ボックス,combo box
ファイラ,filler
フレーム,frame
HTML コンテナ,html container
アイコン,icon
画像,image
内部フレーム,internal frame
ラベル,label
メニュー,menu
メニュー ・ バー,menu bar
メニューの項目,menu item
オプション ・ ペイン,option pane
ページ ・ タブ,page tab
パネル,panel
ポップアップ ・ メニュー,popup menu
ルート ・ ペイン,root pane
表のセル,table cell
取り外しメニュー項目,tear off menu item
端末,terminal
テキスト,text
トグル ・ ボタン,toggle button
ツール ・ バー,tool bar
ツール ・ チップ,tool tip
ツリー,tree
ツリーの表,tree table
不明,unknown
ビューポート,viewport
フッタ,footer
段落,paragraph
ルーラー,ruler
アプリケーション,application
自動補完,autocomplete
エントリ,entry
表題,caption
ページ,page
フォーム,form
リンク,link
表の行,table row
ツリーアイテム,tree item
コメント,comment
分類,grouping
画像マップ,image map
通知,notification
情報バー,info bar
アセトン,Acetone
ブタノール,Butanol
シクロブタン,Cyclobutane
ジメチルエーテル,Dimethyl Ether
エタナール,Ethanal
エタン,Ethane
エチルアルコール,Ethanol
エチレン,Ethylene
グリセリン,Glycerin
メタナール,Methanal
メタン,Methane
メタノール,Methanol
プロパナール,Propanal
プロピレン,Propylene
ピラン,Pyran
タイム :,Time
得点 :,Score
レベル :,Level :
分子 :,Molecule :
化学式 :,Formula :
得点 :,Score :
タイム :,Time :
分子構造のパズル ・ ゲームです,Molecule puzzle game
現在のレベルをスキップします,Skip the current level
新しいゲームを開始します,Start a new game
このアプリケーションについて,About the application
ドキュメント :,Document :
ドキュメント :,Open Document
ドキュメント :,Save Document
ファイルを上書きしますか ?,Overwrite File ?
上書き,Overwrite
デバイスサポート,Device Support
Karmaサポート,Karma Support
Amazon MP3ストア,Amazon MP3 Store Source
Amazon MP3をインポート,Amazon MP3 Import
コア,Core
Booスクリプト,Boo Scripting
BPM検出,BPM Detection
カバーアート取得,Cover Art Fetching
DAAP共有,DAAP Sharing
インターネットアーカイブ,Internet Archive
ライブラリウォッチャー,Library Watcher
通知領域アイコン,Notification Area Icon
再生キュー,Play Queue
UPnPクライアント,UPnP Client
コンテキストペイン,Context Pane
ビットレート,Bitrate
コンテナー,Container
プロファイル,Profile
低複雑度,Low Complexity
出力フォーマット,Output Format
可変ビットレート,Variable Bitrate
VBR音質,VBR Quality
既定,Default
CDを作成 ...,Write CD …
未知のエラー,Unknown Error
インポート,Import
再生を開始する,Start playback
プレイヤーの音量,Player volume
アルバム,Album Title
トラックタイトル,Track Title
時間,Duration
トラック番号,Track Number
トラック数,Track Count
評価,Rating
ビットレート,Bit Rate
アルバムを再生,Play Album
曲を再生,Play Song
ジャンル,Genre
コメント,Comment
不明なアルバム,Unknown Album
不明なタイトル,Unknown Title
未知のエラー,Unknown error
不明な年,Unknown Year
アルバムで,by album
手動,manually
評価で,by rating
スキャン中 ...,Scanning …
クラブ,Club
ダンス,Dance
大ホール,Large Hall
ライブ,Live
パーティー,Party
ポップ,Pop
レゲエ,Reggae
ロック,Rock
スカ,Ska
ソフト,Soft
ソフトロック,Soft Rock
テクノ,Techno
ライブラリから削除,Remove From Library
アルバム,Album
タイトル,Title
カウント,Count
トラック番号,Number
グループ,Grouping
デフォルト再生エンジン,Default player engine
再生エンジンでエラー,Problem with Player Engine
一般,General
情報個別の項目,Source Specific
サンプルレート,Sample Rate
ライセンス,Licence
再生数,Play Count
スキップ数,Skip Count
ファイルサイズ,File Size
ファイルの場所,File Location
MIME型,Mime Type
再生エラー,Playback Error
エラー,Error
ドライブ,Drive
不明なストリーム,Unknown Stream
表示 :,Show :
すべて,All
検索 :,Search :
再生中,Playing
外部ドキュメント,External Document
トラック番号,Track #
トラック番号,Track & Count
再生開始を待っています ...,Waiting for playback to begin …
プリアンプ,Preamp
とにかく終了,Quit Anyway
継続する,Continue Running
アルバムのカバー画像を選択,Select album cover image
ファイルを開く,Open Location
他の場所にあるファイルを開きます,Open a remote location for playback
現在のアイテムを再生,Play the current item
次のアイテムを再生します,Play the next item
現在の再生中のアイテムにジャンプ,Jump to the currently playing item
リピート,Repeat
シャッフル,Shuffle
サブタイトル,Subtitle
ライブラリへインポート,Import to Library
名前の変更,Rename
アンマップ,Unmap
ソースを切り替える,Switch Source
タイプで分割,Separate by Type
Banトラック,Ban Track
追加項目,Extra
ヘルプ,Help
ソート,Sorting
トラックタイトルでソート :,Sort Track Title :
アルバムタイトルでソート :,Sort Album Title :
ファイル名 :,File Name :
ディレクトリ :,Directory :
フルパス :,Full Path :
再生時間 :,Duration :
再生数 :,Play Count :
スキップ数 :,Skip Count :
ファイルサイズ :,File Size :
次のトラックを表示します,Show the next track
タイトル :,Title :
アルバム :,Album :
操作を停止,Stop Operation
続ける,Continue
停止しています ...,Stopping …
エクスポート,Export
フォーマットを選択 :,Select Format :
ライブラリの場所を選択,Select library location
ソース :,Source :
ジャンルフィルターを表示,Show Genre Filter
年のフィルターを表示,Show Year Filter
未設定,Not Set
シーク,Seek
接続中です ...,Contacting …
バッファリング,Buffering
デバイス,Device
容量,Capacity
使用できます,Available
いいえ,No
ファイルの変換エラー,Error converting file
同期,Sync
その他,Other
空きスペース,Free Space
デバイス名,Device name
手動で管理する,Manage manually
すべてのライブラリと同期,Sync entire library
Rockboxデバイス,Rockbox Device
バッテリーレベル,Battery level
Amazon MP3ストア,Amazon MP3 Store
Amazon MP3ストアを検索,Search the Amazon MP3 Store
Bookを開く,Open Book
作者 :,Author :
ブックタイトル :,Book Title :
作者,Author
作者の頭文字,Author Initial
ブックタイトル,Book Title
ブックマークは設定されていません,No Bookmark Set
BPMの検出,Detecting BPM
戻る,Back
もう一度接続してください,Try connecting again
ログイン,Login
クリア,Clear
終了時に削除,Clear on Quit
問題の種類 :,Problem Type :
修復 ?,Fix ?
ウェブページを開く,Open Webpage
再実行,Try Again
作者 :,Creator :
開催地 :,Venue :
場所 :,Location :
日付 :,Date :
年 :,Year :
ライセンスURL :,Licence URL :
言語 :,Language :
寄贈者 :,Contributor :
系統 :,Lineage :
あなた自身のレビュー書く,Write your own review
コレクション :,Collection :
クエリオプション,Optional Query
ソート :,Sort by :
検索 ...,Search …
LibriVoxからの新作,New From LibriVox
チャーリー ・ チャップリン,Charlie Chaplin
インターネットアーカイブを検索しています,Searching the Internet Archive
さらに取得する,Fetch More
作者,Creator
コレクション,Collection
寄贈者,Contributor
フォーマット,Format
言語,Language
レビュー数,Review Count
スピリチャリティーと宗教,Spirituality & Religion
プロジェクト ・ グーテンベルク,Project Gutenberg
ソフトウェア,Software
ステーション,Station
ステーションのジャンル :,Station Genre :
ステーション名 :,Station Name :
ストリームのURL :,Stream URL :
ステーションの作者 :,Station Creator :
評価 :,Rating :
接続,Connect
アカウント,Account
不明な類似性,Unknown Similarity
似ている,Similar to
Loveトラック,Love Track
全再生数,Total Play Count
新しいステーション,New Station
グループ,Group
グループ名 :,Group Name :
タグ,Tag
タグ名 :,Tag Name :
ファン,Fan
テイストが似ている,Similar
テイストが似ている :,Similar to :
ライブラリ,Library
再生中,Now Playing
実行中,Still Running
CDをインポートできません,Cannot Import CD
CDのインポート,Import CD
CDの複製,Duplicate CD
トラック情報を検索しています ...,Searching for track information …
メニューに移動,Go to Menu
メニューの操作,Navigate to menu
後に再生,Play After
現在のトラック,Current Track
現在のアルバム,Current Album
終了時に再生キューをクリアする,Clear the play queue when quitting
再生キューから削除,Remove From Play Queue
アーカイブ,Archive
カテゴリ :,Category :
著作権 :,Copyright :
サンプル,Sample
SQLモニターを開始,Start SQL Monitoring
SQLモニターを終了,Stop SQL Monitoring
UPnP共有,UPnP Share
コンテキストメニューを開く,open context menu
すべての条件で,all
いずれかの条件で,any
より前,before
より後,after
以前,more than
音量,Volume
最大,Full Volume
カラー,Colour
ファームウェア,Firmware
MeeGoサポート,MeeGo Support
デバッグ,Debug
再生中のビュー,Now Playing View
演算子,Operator
問い合わせ,Query
再生操作,Playback Control
キー,Key
アクション,Action
Space,Space Bar
ライブラリの相互作用,Library Interaction
Ctrl,Control
インターフェース,Interface
管理と並び替え,Manage & Sort
ライブラリ全部を同期する,Sync Your Entire Library
Rhythmbox のライブラリからインポートする,Import your Rhythmbox library
アルバムのカバーアートの管理と変更,Manage of change your album cover art
カバーアート,Cover art
平均ビットレート,Average Bitrate
CDを作成 ...,Write CD ...
スキャン中 ...,Scanning ...
再生開始を待っています ...,Waiting for playback to begin ...
停止しています ...,Stopping ...
接続中です ...,Contacting ...
検索 ...,Search ...
カバーアートの管理,Manage cover art
Moblinサポート,Moblin Support
有効,Enable
主要開発者,Primary Development
アクティブなチャート,Active Chart
サイズ,Size
ツリーマップチャート,Treemap Chart
メインボリューム,Main volume
ホームの監視,Monitor Home
利用可能 :,available :
Pixbuf 画像を生成できません,Cannot create pixbuf image !
スキャン,Scan
マウントポイント,Mount Point
合計,Total Size
公開 FTP,Public FTP
追加情報 :,Optional information :
サーバーへの接続,Connect to Server
ホームフォルダーのスキャン,Scan Home
拡大する,Zoom in
縮小する,Zoom out
取り消し,Cancel
IM ビューアー,IM Viewer
h : mm tt,HH : mm
ファイル :,File :
E-メール :,E-Mail :
携帯電話 :,Mobile Phone :
会社の電話番号 :,Work Phone :
自宅の電話番号 :,Home Phone :
離席中,Away
オフライン,Offline
コメント :,Comment :
添付ファイル,Mail attachment
件名 :,Subject :
宛先 :,To :
差出人 :,From :
送信した日付 :,Date Sent :
Man ページ,Manual page
別のアプリで開く,Open With
サイト :,Site :
開く,Open
明日,Tomorrow
終了,Quit
検索,Search
パスの選択,Select Path
パスの削除,Remove path
アイテムの削除,Remove item
種類,Type
パス名 :,Path :
パターン :,Pattern :
キーの組み合わせを指定して下さい,Grab key combination
変更する,Change
検索,Searching
プライバシー,Privacy
ネットワーク,Networking
種類 :,Type :
現在のテーマ,Current theme
新しいチャネルの URL を入力,Enter the URL of the new channel
上書きしますか ?,Do you want to overwrite the file ?
書き出し先 ...,Export to ...
チャネルを削除しますか ?,Remove Channel ?
動作,Behaviour
テーマ,Theme
URL か OPML ファイルの名前を入力,Enter the URL or filename for the OPML file
OPML ファイルを取り込み中,Importing OPML file
テーマを設定,Set Theme
情報,About Blam
OPML ファイルを選択,Select OPML file
OPML ファイルを開いています,Opening OPML file
新しいプロジェクトを作成する,Creating a New Project
イメージを書き込む,Burn Image
プロジェクトを保存する,Data Project
音楽トラックを分割する,Splitting a Track
手動で分割する,Split track manually
バグ報告ツール,Bug reporting tool
バグ報告ツール,Bug Report Tool
バグ報告の名前,Bug reporter name
報告するプログラムを含むパッケージを指定する,Package containing the program
重要 :,WARNING :
ファイルの保存,Save File
Byzanz ファクトリ,Byzanz Factory
アニメーションを繰り返す,Let the animation loop
スキャン,Scanning
キー単位,Linear
スキャン時間,Step time
1 回,One
2 回,Two
3 回,Three
4 回,Four
5 回,Five
入力,Input
スイッチキー,Switch key
スペースバー,Space
スイッチボタン,Switch button
第 1 ボタン,Button 1
第 2 ボタン,Button 2
第 3 ボタン,Button 3
外観,Appearance
タッチ,Touch
最小アルファ値,Minimum Alpha
最大アルファ値,Maximum Alpha
高さ,Height
アクターの高さ,Height of the actor
最小高さ,Min Height
通常の高さ,Natural Height
領域,Allocation
深さ,Depth
不透明度,Opacity
アクターの不透明度,Opacity of an actor
イベントへの反応,Reactive
クリッピングマスク,Clip
アクターのクリッピング領域,The clip region for the actor
クリッピングする長方形,Clip Rectangle
アクターの名前,Name of the actor
回転の中心,Pivot Point
Z軸の回転の中心,Pivot Point Z
回転の中心のZ成分,Z component of the pivot point
X軸の拡大縮小,Scale X
Y軸の拡大縮小,Scale Y
Z軸の拡大縮小,Scale Z
X軸の拡大縮小の中心,Scale Centre X
Y軸の拡大縮小の中心,Scale Centre Y
重力方向の拡大縮小,Scale Gravity
X軸の回転角度,Rotation Angle X
Y軸の回転角度,Rotation Angle Y
Z軸の回転角度,Rotation Angle Z
X軸の回転の中心,Rotation Centre X
Y軸の回転の中心,Rotation Centre Y
Z軸の回転の中心,Rotation Centre Z
Z軸の回転の中心,Rotation Centre Z Gravity
X軸のアンカー,Anchor X
Y軸のアンカー,Anchor Y
重力方向のアンカー,Anchor Gravity
領域のクリップ,Clip to Allocation
文字の方向,Text Direction
文字の方向,Direction of the text
効果,Effect
レイアウトマネジャー,Layout Manager
X軸の整列,X Alignment
Y軸の整列,Y Alignment
上余白,Margin Top
下余白,Margin Bottom
左余白,Margin Left
右余白,Margin Right
中身,Content
中身の重力,Content Gravity
コンテンツボックス,Content Box
縮小フィルター,Minification Filter
拡大フィルター,Magnification Filter
中身の繰り返し,Content Repeat
メタ情報の名前,The name of the meta
原点,Source
係数,Factor
水平方向の整列,Horizontal Alignment
垂直方向の整列,Vertical Alignment
水平方向に展張,Horizontal Fill
垂直方向に展張,Vertical Fill
セル内のアクターの水平整列,Horizontal alignment of the actor within the cell
セル内のアクターの垂直整列,Vertical alignment of the actor within the cell
垂直方向,Vertical
向き,Orientation
レイアウトの向き,The orientation of the layout
パックの開始,Pack Start
間隔,Spacing
色合い,Tint
適用する色合い,The tint to apply
背景の質感,Back Material
ドラッグ領域,Drag Area
ドラッグ領域を設定,Drag Area Set
列の間隔,Column Spacing
行の間隔,Row Spacing
行の最小高さ,Minimum Row Height
それぞれの行の最小高さ,Minimum height for each row
行の最大高さ,Maximum Row Height
それぞれの行の最大高さ,Maximum height for each row
左アタッチ,Left attachment
上アタッチ,Top attachment
デバイスの形式,Device Type
デバイスマネジャー,Device Manager
値の形式,Value Type
初期値,Initial Value
インターバルの初期値,Initial value of the interval
終了値,Final Value
インターバルの終了値,Final value of the interval
マネジャー,Manager
デフォルトのフレームレート,Default frame rate
文字の方向,Direction for the text
補完,Interpolate
減速,Deceleration
内部加速係数,Initial acceleration factor
パス,Path
プロパティ名,Property Name
アニメーションのプロパティ名,The name of the property to animate
ファイル名の設定,Filename Set
ファイル名,Filename
ダブルクリック時間,Double Click Time
