en_GB,es,ja,zh_CN,zh_TW,en_US
0 . PREAMBLE,0. PREÁMBULO,,,,0 . PREAMBLE
0 Hz,,,,0 赫茲,0 Hz
0 KB,KB,,,,0 KB
0 auto,,0 自動,0 自动,,0 auto
"00 Oct 0000 , 00 : 00","00 oct 0000 , 00:00 pm",,0000年0月0日 ， 00 : 00,0000年00月00日下午 00 : 00,"00 Oct 0000 , 00 : 00"
00 Oct 0000 at 00 : 00,,,0000年10月0日 ， 00 : 00 : 00,0000年00月00日下午 00 : 00,00 Oct 0000 at 00 : 00
1 . APPLICABILITY AND DEFINITIONS,1. APLICABILIDAD Y DEFINICIONES,,,,1 . APPLICABILITY AND DEFINITIONS
1 GB,1 GiB,,,,1 GB
1 MB,1 MiB,,,,1 MB
1 Year,1 año,1年,一年,1 年,1 Year
1 int,,,1 整型,,1 int
1 minute,,1分,1分钟,1 分鐘,1 minute
1 month back,,1ヶ月前,1个月前,1 個月前,1 month back
1 player game,,一人プレイ,一人游戏,單人遊戲,1 player game
1 unit,,,1 个单位,,1 unit
1 week,,1 週間,1 周,1 週,1 week
1 year back,hace 1 año,1年前,1年前,1 年前,1 year back
10 . FUTURE REVISIONS OF THIS LICENCE,10. FUTURAS REVISIONES DE ESTA LICENCIA,,,,10 . FUTURE REVISIONS OF THIS license
10 Feb 2004,,,2004年2月10日,,10 Feb 2004
10 MB,10 MiB,,,,10 MB
100 KB,100 KiB,,,,100 KB
100 KB 500 KB 1 MB 3 MB 5 MB 10 MB 100 MB 1 GB,100 KiB 500 KiB 1 MiB 3 MiB 5 MiB 10 MiB 100 MiB 1 GiB,,,,100 KB 500 KB 1 MB 3 MB 5 MB 10 MB 100 MB 1 GB
100 MB,100 MiB,,,,100 MB
1024 px,,,1024 像素,,1024 px
104-bit WEP,,104-ビット WEP,104 位 WEP,104 位元 WEP,104-bit WEP
1080p full HD,,1080p フル HD,,,1080p full HD
11 May 2000,,,2000年5月11日,,11 May 2000
11 x 14 in .,11 × 14 pulg .,,11 x 14 英寸,11 x 14 英吋,11 x 14 in .
12 hour,,12時間制,12 小时,12 小時,12 hour
12k Voice,,12k 音声,,,12k Voice
12th,12º,,第 12 个,,12th
13 x 18 cm,13 × 18 cm,,13 x 18 厘米,13 x 18 公分,13 x 18 cm
16 x 20 in .,16 × 20 pulg .,,16 x 20 英寸,16 x 20 英吋,16 x 20 in .
16-bit,,,,16 位元,16-bit
17 June 2004,,,2004年6月17日,,17 June 2004
18 x 24 cm,18 × 24 cm,,18 x 24 厘米,18 x 24 公分,18 x 24 cm
18th September 2006,,,2006年9月18日,,18th September 2006
19 Feb 2002,,,2002年2月19日,,19 Feb 2002
19th,19º,,第 19 个,,19th
19th September 2006,,,2006年9月19日,,19th September 2006
2 . Height :,2. Alto :,2 . 高さ :,2 . 高度 ：,2 . 高度 ：,2 . Height :
2 . Laptop,2. Portátil,2 . ラップトップ型,2 . 笔记本电脑,2 . 筆記本電腦,2 . Laptop
2 . VERBATIM COPYING,2. COPIA LITERAL,,,,2 . VERBATIM COPYING
2 GB,2 GiB,,,,2 GB
2 int,,,2 整型,,2 int
20 Mile Hill,,,20 英里山,廿哩丘陵,20 Mile Hill
20 x 30 cm,20 × 30 cm,,20 x 30 厘米,20 x 30 公分,20 x 30 cm
2012 Developer Conference,,,2012年开发者大会,,2012 Developer Conference
2012 Outreach Program for Women,,,2012年女性推广计划,,2012 Outreach Program for Women
20th November 2006,,,2006 年 11 月 20 日,,20th November 2006
23 Mar 2001,,,2001年3月23日,,23 Mar 2001
24 Hr,,,24 小时,24 時制,24 Hr
24 hour,,24時間制,24 小时,24 小時,24 hour
24 x 40 cm,24 × 40 cm,,24 x 40 厘米,24 x 40 公分,24 x 40 cm
24k Tape,,24k テープ,,,24k Tape
25 February 2004,,,2004年2月25日,,25 February 2004
25 May 2012,,,两周前25 May 2012,兩週前25 May 2012,25 May 2012
25 October 2003,,,2003年10月25日,,25 October 2003
3 . COPYING IN QUANTITY,3. COPIAR EN CANTIDAD,,,,3 . COPYING IN QUANTITY
3 . Margin,3. Margen,3 . 余白,3 . 页边,3 . 邊距,3 . Margin
3 MB,3 MiB,,,,3 MB
3 log,,,3 日志,,3 log
30 Mar 2002,,,2002年5月30日,,30 Mar 2002
30 x 40 cm,30 × 40 cm,,30 x 40 厘米,30 x 40 公分,30 x 40 cm
32 bit float :,,32ビット浮動小数点 :,32 位浮点数 ：,,32 bit float :
32-bit,,,32 位,32 位元,32-bit
320 px,,,320 像素,,320 px
3D Cube,Cubo 3D,,三维正方体,,3D Cube
3D Gamut,Gama 3D,3Dガマット,3D 色域,3D 色域,3D Gamut
3D Outline,Contorno 3D,3D アウトライン ...,,,3D Outline
3D Pie,,3次元パイグラフ,,,3D Pie
3D Split Pie,,3次元分割円グラフ,,,3D Split Pie
3D-Box,Caja-3D,,3D-盒子,,3D-Box
"4 , 5 , 6 , or 7","4 , 5 , 6 , ó 7",,4 、 5 、 6 或 7,,"4 , 5 , 6 , or 7"
4 . Clipping height :,,4 . クリッピングの高さ :,4 . 限高 ：,4 . 夾高度 ：,4 . Clipping height :
