wuu-Hant-x-taiz1238,x-emoji,en-US,x-image,nan-Hant-x-chao1239,ral,swh,wuu-x-ouji1238,zh-Hans-CN,zh-Hant-TW,zyg-x-yang1286
詞句尋來加,,Browse expressions to add,,,,,,,去搜尋並增加表達式,khjam1 wa2 thim2 biau4 ta1 xi3
日晝頭 | 日頭晝 | 日晝,,noon | midday,,,,,,,中午,
,,,,,,chui,,豹,,
新加頭一個收藏集用來捉拾詞句。,,,,,,,,,,
箇收藏集還空白,,This collection is empty,,,,,,这个收藏集是空的,這個收藏是空的,
堂地名字,,Region Name,,,,,,地区名称,地區名稱,moeng2 ti2 khi5
新郎官,,bridegroom,,,,,,,,
所在,,Location,,,,,,位置,位置,
老實約畀條條目從收藏集裏移爻？,,Remove this item from the collection?,,,,,,确定要从收藏集中移除此条目吗？,您確定要從收藏中移除此項目嗎？,
曬臺,,,,,,,,阳台,,
檢查爾个郵箱,,Check your email,,,,,,检查您的邮箱,檢查您的信箱,
,,on the way,,,,,路朗向,路上,,
緯,,Latitude,,,,,,纬度,緯度,
蹋脚車,,,,,,,,自行车,,
加進收藏集裏,,Add to Collection,,,,,,添加到收藏集,加入到收藏,kam1 thang1 xoeu5 xang2 ki2
加條詞句,,Add Another Expression,,,,,,,新增其他詞句,
密碼對不牢。,,Passwords do not match.,,,,,,密码不匹配。,密碼不相符。,
,,,,,,,,雨,,phon1
,,,,,,,,霜,,mok9
收藏集朆尋着。,,No collections found.,,,,,,未找到收藏集。,未找到收藏集。,
,🚲,,,腳車 | 跤車 | 骹車,,,,脚踏车 | 自行车,腳踏車,
堂地信息,,Region Information,,,,,,地区信息,地區信息,
鄰舍,,neighbour,,,,,,,,
,,fortunate | fortune | lucky,,好彩 | 財氣,,,,还好 | 幸运,幸運,
標籤,,Tags,,,,,,标签,標籤,
我同意,,I agree to the,,,,,,我同意,我同意,
,🌽,,,薏仁,,,,玉米,玉米,
郵箱驗證失敗,,Email Verification Failed,,,,,,邮箱验证失败,電子信箱驗證失敗,
尋詞句...,,,,,,,,,,
箇意思个詳細講法,,Detailed explanation of this meaning,,,,,,此含义的详细解释,此含義的詳細解釋,
土話名字,,Native Language Name,,,,,,本地语言名称,本地語言名稱,
屋裏,,domestic,,,,,,,家裏,
囡,,daughter | girl,,,,,,,,
公開,,Public,,,,,,公开,公開,kong3 khai5
讀取牢...,,Loading...,,,,,,加载中...,載入中...,kja3 zai1 jou5 ...
阿叔,,,,,,,,,叔叔,
話當中實際个詞句,,The actual word or sentence in the language,,,,,,语言中的实际单词或句子,該語言中的實際詞語或句子,
加新个話,,Add Language,,,,,,添加语言,新增語言,
,,,,,,nguruwe,,猪,,
老司頭,,mechanic,,,,,,,,
遍加遍 | 垡加垡,,,,,,,,,,
加新个收藏集,,,,,,,,,,xuang3 kjen3 xoeu5 xang2 ki2 moi5
小屋,,hut,,,,,,,,
堂地,,Region,,,,,,地区,地區,ti2 khi5
好省,,optional,,,,,,可选,可選,ti2 khi5
,🚇,,,地鐵,,,,地铁,捷運,
我个收藏,,My Collections,,,,,,我的收藏,我的收藏,
導出,,Export,,,,,,导出,匯出,au1 ok7 ma2
進賬號失敗。轉檢查爾个凭證再試試相。,,Login failed. Please check your credentials and try again.,,,,,,登录失败。请检查您的凭据并重试。,登入失敗。請檢查您的憑據並重試。,
學堂,,school,,,,,,,,
倒退,,Back,,,,,,返回,返回,bai1 tau2
加詞句,,Add expression,,,,,,,新增詞句,
密碼忘記爻？,,Forgot your password?,,,,,,忘记密码？,忘記密碼？,
,,Universe,,宇宙,,,,宇宙,,
老實畀箇穿起斷爻𣍐？,,Are you sure you want to unlink this expression?,,,,,,确定要解除此词句的关联吗？,確定要解除此詞句的連結嗎？,
爲句話定所屬話,,Select the language for this expression,,,,,,为此词句选择语言,為此詞句選擇語言,
僵交互方式个天下地圖裏直觀个望語言多樣性。,,Visualize linguistic diversity on an interactive world map.,,,,,,在交互式世界地图上可视化语言多样性。,在互動式世界地圖上視覺化語言多元化。,
爾个瀏覽器不支持探查所在,,Geolocation is not supported by your browser,,,,,,您的浏览器不支持地理位置,您的瀏覽器不支援地理位置,
夜裏,,night,,,,,,,,
讀户頭信息失敗。,,Failed to fetch user profile information.,,,,,,获取用户资料信息失败。,取得使用者資料失敗。,
穿起斷爻,,Unlink,,,,,,解除关联,解除連結,
意思省講,,Meaning Gloss,,,,,,含义简述,含義標題,
徠𡍲處理...,,Processing...,,,,,,处理中...,處理中...,
下載文件,,Download File,,,,,,下载文件,下載檔案,
有賺,,An error occurred,,,,,,发生错误,發生錯誤,moei2 xa3
,,from,,,,,从,从 ：,,
,🌛,Moon | moon,,月娘,,,,月亮,,hai1 dai5
昨日,,yesterday,,,,,,,昨天,
聾耳朵人,,,,,,,,,,
改密碼功能還朆做起。,,Change password functionality is not implemented yet.,,,,,,更改密码功能尚未实现。,變更密碼功能尚未實現。,
所有,,All,,,,,,全部,全部,
濟手,,hand left,,,,,,,,
還朆翻个,,Untranslated,,,,,,未翻译,未翻譯,
賬號進進來赫好操作,,You must be logged in to perform this action,,,,,,您必须登录才能执行此操作,您必須登入才能執行此操作,
農民伯爺 | 種田人 | 農民,,peasant,,,,,,,農民,
約磹 | 約磹,,Target,,,,,,目标,目標,
提交中...,,Submitting...,,,,,,,提交中...,
天亮晚頭,,,,,,,,明日夜间,明天晚上,
聯結意思,,Associated Meanings,,,,,,关联含义,關聯含義,
尋詞句,,Search Expressions,,,,,,搜索词句,搜尋詞句,
收藏集朆有,,No collections,,,,,,,暫無收藏集,
探查爾个所在失敗,,Failed to detect your location,,,,,,无法检测您的位置,無法偵測您的位置,
開放,,Public access,,,,,,公开访问,公開存取,
後臗頁,,Next,,,,,,下一页,下一頁,moi1 neu2
成功,,Success,,,,,,成功,成功,nai3 a3
,🥔,,,馬鈴薯,,,,土豆,馬鈴薯,
徠𡍲驗證爾个郵箱牢,,Verifying your email,,,,,,正在验证您的邮箱,正在驗證您的電子信箱,
順手,,hand right,,,,,,,,
炮勥,,crackers,,,,,,,,
音樂,,Audio,,,,,,音频,音訊,
賬號進進去,,Sign in to your account,,,,,,登录您的账户,登入您的帳戶,
開賬號成功！,,Registration Successful!,,,,,,注册成功！,註冊成功！,
買菜蔬,,,,,,,,,,
填新个凭證用來進爾个賬號,,Enter your credentials to access your account,,,,,,输入您的凭据以访问您的账户,輸入您的憑據以存取您的帳戶,
删收藏集,,Delete Collection,,,,,,删除收藏集,刪除收藏,
,,Summer | Summer,,熱天時,,,,夏天,夏天,
新婦娘,,bride,,,,,,,新娘,
私下,,Private,,,,,,私有,私人,zi2 kap8
畀下向許信息填起用來開新个賬號,,Fill in the information below to create your account,,,,,,填写以下信息以创建您的账户,填寫以下資訊以建立您的帳戶,
,,long beans,,菜豆,,,,四季豆,,
,🧎,Sorry,,对毋起 | 对毋住,,,,对不起 | 对不住,,
箇意思个短記號,,Brief identifier for this meaning,,,,,,此含义的简短标识,此含義的簡要標識,
,,,,牽摜,,,,提携,提攜,
尋,,Search,,,,,,搜索,搜尋,
箇收藏集講吤某个？,,What is this collection about?,,,,,,这个收藏集是关于什么的？,這個收藏集是關於什麼的？,
徠𡍲讀地圖牢...,,Loading map...,,,,,,加载地图中...,正在載入地圖...,
月加月,,,,,,,,每月,每個月,
有趣 | 有趣相,,,,,,,,可愛,,
語言 | 話,,Languages,,,,,,,語言,ji5 jen2
徠𡍲讀詞句个詳細講法...,,Loading expression details...,,,,,,加载词句详情中...,正在載入詞句詳情...,
,,,,,,pata,,猫,,
孃舅,,,,,,,,,,
詞句朆尋着。用不樣个關鍵詞試試相要物加新个詞句。,,No expressions found. Try different search terms or create a new expression.,,,,,,未找到词句。尝试不同的搜索词或创建新词句。,未找到詞句。請嘗試不同的搜尋詞或建立新詞句。,
家孃爺,,,,,,,,,公婆,
叔伯母隊,,,,,,,,,,
新婦,,son's wife,,,,,,,,
肒膿,,suppurate,,,,,,,,
我个信息,,Profile,,,,,,个人资料,個人資料,
迲進賬號 | 前往登入,,Go to Login,,,,,,前往登录,前往登入,
户頭信息,,User Profile,,,,,,用户资料,使用者資料,
,,Effort,,力相,,,,努力,,
,,,,伊人,,wao,,他们 | 她们,,
,,,,浴室,,bafu,,浴室,,
郵箱地址,,Email address,,,,,,邮箱地址,電子信箱,
快活,,comfortable | happy,,,,,,,,
探索不同堂地个話个講法多樣性。大圈表示箇堂地記録个詞句多。,,Explore the richness of linguistic expressions across different regions. Larger circles indicate more expressions in that area.,,,,,,探索不同地区语言表达的丰富性。较大的圆圈表示该区域有更多词句。,探索不同地區的語言豐富性。圓圈越大表示該地區詞句越多。,
晏邊 | 晏跟,,,,,,,,,,
開導出,,Start Export,,,,,,开始导出,開始匯出 | Start Export,kai3 xi3 au1 ok7 ma2
枯心 | 枯心頭,,early in the morning,,,,,,,,
進有个賬號,,Sign in to existing account,,,,,,登录现有账户,登入現有帳戶,
晏界頭 | 晏界,,,,,,,,下午,,
大大 | 阿哥,,brother,,,,,,,哥哥,
