src,tgt
IBM 公司,IBM Corporation
GNOME 文档项目,GNOME Documentation Project
菜单栏,Menubar
右侧插件视图,Right plugin view
底部插件视图,Bottom plugin view
插件视图管理,Plugin View Management
界面浏览者,Interface Viewer
事件监视器,Event Monitor
插件布局,Plugin Layout
全局热键配置,Global Hotkey Configuration
GNOME 默认主题,Default GNOME Theme
艺术,Art
相机,Camera
危险,Danger
草稿,Draft
营销,Marketing
金融,Money
备忘,Note
不 ！,Oh no !
人们,People
计划,Plan
最爱,Favourite
一般,Generic
重要,Important
邮件,Mail
软件包,Package
禁写,No write
紧急,Urgent
网页,Web
牌局,Setup
纸牌类型,Type of Deck
桌面排列区,Tableau
目标,Goal
得分,Scoring
策略,Strategy
发牌区,Stock
雅典娜,Athena
硬骨头,Backbone
Vincent Povirk 编写,Written by Vincent Povirk
两副牌,Double Deck
熊河,Bear River
拦截十,Block Ten
卡米洛特,Camelot
羸了的桌面图 。,The Winning Tableau .
甘菲德,Demon
地毯,Carpet
钟表,Clock
表盘,Clock Layout .
封面,Cover
把发牌区所有牌都发出去 。,Empty the Stock .
残忍,Cruel
Zach Keene 编写,Written by Zach Keene
牌垛,Pile
等级,Rank
空位,Slot
参看牌垛 。,See Pile .
花色,Suit
鹰翼,Eagle Wing
关闭八,Eight Off
电梯,Elevator
放置发牌区发过来的牌 。,To be taken from Stock .
W. Borgert 编写,Written by W. Borgert
十四,Fourteen
空当接龙,Freecell
Changwoo Ryu 编写,Written by Changwoo Ryu
巨人,Giant
高尔夫,Golf
强伯,Jumbo
阿尔伯特王,King Albert
迷宫,Labyrinth
迷魂阵,Maze
由 Matthew Wilcox 编写,Written by Matthew Wilcox
蒙特卡罗,Monte Carlo
左上角的牌垛 。,Top left pile .
挨着发牌区 。,Next to Stock .
邻国,Neighbour
没有,None
皮克,Peek
根冠,Pileon
Nick Lamb 编写,Written by Nick Lamb
辫子,Plait
纸牌戏,Poker
得分,Score
顺子,Straight
两对,Two pair
一对,One pair
夸托尔泽,Quatorze
萨拉托加,Saratoga
黑心人,Scorpion
混战,Scuffle
海港,Seahaven
汤米爵士,Sir Tommy
单花色,One Suit
三副牌,Triple Deck
直上,Straight Up
阳台,Terrace
一般的耐心,General Patience
贵妇人,Signora
包含王的一副牌,Joker Deck
十三,Thirteen
特睿兹,Treize
联合广场,Union Square
情人节,Valentine
育空,Yukon
斑马,Zebra
2005年7月,July 2005
名称,Name
显示,Show
项目,Item
主菜单,Main Menu
上移,Move Up
下移,Move Down
名称 ：,Name :
注释 ：,Comment :
加速标签,accelerator label
警告,alert
动画,animation
箭头,arrow
复选框,check box
复选菜单项,check menu item
组合框,combo box
填充器,filler
框架,frame
HTML 容器,html container
图标,icon
图像,image
内部框架,internal frame
标签,label
菜单,menu
菜单栏,menu bar
菜单项,menu item
选项面板,option pane
选项卡,page tab
面板,panel
弹出菜单,popup menu
根面板,root pane
表格,table
表格单元,table cell
可分离菜单项,tear off menu item
终端,terminal
文本,text
切换按钮,toggle button
工具栏,tool bar
工具提示,tool tip
树型表格,tree table
未知,unknown
视区,viewport
页脚,footer
段落,paragraph
标尺,ruler
应用程序,application
自动补全,autocomplete
输入,entry
图表,chart
题目,caption
页面,page
窗体,form
链接,link
表格行,table row
树条目,tree item
注释,comment
分组,grouping
位图,image map
通知,notification
信息栏,info bar
丙酮,Acetone
丁醇,Butanol
环丁烷,Cyclobutane
二甲醚,Dimethyl Ether
乙醛,Ethanal
乙烷,Ethane
乙醇,Ethanol
乙烯,Ethylene
甘油,Glycerin
甲醛,Methanal
甲烷,Methane
甲醇,Methanol
丙烯,Propylene
吡喃,Pyran
时间 ：,Time
级别 ：,Level :
分子 ：,Molecule :
公式 ：,Formula :
得分 ：,Score :
时间 ：,Time :
分子智力游戏,Molecule puzzle game
跳过当前级别,Skip the current level
开始新游戏,Start a new game
退出游戏,Exit game
文件,File
关于应用程序,About the application
文档 ：,Document :
打开文档,Open Document
保存文档,Save Document
Bakery 示例 。,A Bakery example .
Bakery XML 示例 。,A Bakery XML example .
A Bakery 示例,A Bakery example
覆盖文件吗 ？,Overwrite File ?
覆盖,Overwrite
设备支持,Device Support
Karma 支持,Karma Support
Amazon MP3 Store 源,Amazon MP3 Store Source
Amazon MP3 导入,Amazon MP3 Import
核心,Core
Boo 脚本,Boo Scripting
BPM 探测,BPM Detection
封面图片获取中,Cover Art Fetching
DAAP 分享,DAAP Sharing
库监视器,Library Watcher
通知区域图标,Notification Area Icon
播放队列,Play Queue
UPnP 客户端,UPnP Client
关联窗格,Context Pane
比特率,Bitrate
容器,Container
简要描述文件,Profile
低复杂性,Low Complexity
输出格式,Output Format
可变比特率,Variable Bitrate
VBR 质量,VBR Quality
默认,Default
声波形式的 PCM,Waveform PCM
写入光盘 ...,Write CD …
未知错误,Unknown Error
导入,Import
开始播放,Start playback
切换播放,Toggle playback
播放器音量,Player volume
专辑标题,Album Title
音轨标题,Track Title
时长,Duration
音轨编号,Track Number
音轨计数,Track Count
年代,Year
评级,Rating
比特率,Bit Rate
播放专辑,Play Album
播放曲目,Play Song
搜索,Search
流派,Genre
评论,Comment
未知专辑,Unknown Album
未知标题,Unknown Title
未知错误,Unknown error
未知年份,Unknown Year
按专辑,by album
手动,manually
按评级,by rating
正在扫描 ...,Scanning …
俱乐部,Club
舞曲,Dance
高音,Full Treble
音乐厅,Large Hall
现场,Live
晚会,Party
流行,Pop
瑞格,Reggae
摇滚,Rock
斯卡,Ska
笑脸弧线,Smiley Face Curve
轻柔,Soft
慢摇滚,Soft Rock
电音,Techno
从音乐库中删除,Remove From Library
专辑,Album
标题,Title
计数,Count
编号,Number
分组,Grouping
默认播放器引擎,Default player engine
播放器引擎出错,Problem with Player Engine
常规,General
特定来源,Source Specific
专辑,album
音轨,track
音轨序号,trackno
音轨数,tracknum
音轨计数,trackcount
比特率,bitrate
样本采样率,Sample Rate
标题,title
名字,name
年代,year
年代,yr
流派,genre
许可,Licence
许可,licence
评级,rating
播放计数,Play Count
播放次数,playcount
跳过次数,Skip Count
文件大小,File Size
文件位置,File Location
路径,path
文件,file
位置,location
长度,length
时间,time
MIME 类型,Mime Type
类型,type
MIME 类型,mimetype
格式,format
播放错误,Playback Error
播放错误,playbackerror
未知,Unknown
错误,Error
驱动器,Drive
未知流,Unknown Stream
显示 ：,Show :
所有,All
搜索 ：,Search :
正在播放,Playing
外部文档,External Document
音轨 #,Track #
音轨及计数,Track & Count
等待播放开始 ...,Waiting for playback to begin …
预放大,Preamp
无论如何都退出,Quit Anyway
继续运行,Continue Running
选择专辑封面图像,Select album cover image
打开位置,Open Location
打开远程位置进行播放,Open a remote location for playback
播放当前项目,Play the current item
播放下一首,Play the next item
跳到当前播放的项目,Jump to the currently playing item
重复播放,Repeat
随机播放,Shuffle
字幕,Subtitle
导入到库中,Import to Library
重命名,Rename
取消映射关系,Unmap
切换源,Switch Source
按类型区分,Separate by Type
禁止音轨,Ban Track
额外,Extra
帮助,Help
排序,Sorting
分类音轨标题 ：,Sort Track Title :
分类专辑标题 ：,Sort Album Title :
文件名 ：,File Name :
目录 ：,Directory :
完整路径 ：,Full Path :
时长 ：,Duration :
播放次数 ：,Play Count :
跳过次数 ：,Skip Count :
文件大小 ：,File Size :
显示下一首音轨,Show the next track
标题 ：,Title :
专辑 ：,Album :
停止操作,Stop Operation
继续,Continue
正在停止 ...,Stopping …
导出,Export
选择格式 ：,Select Format :
选择库位置,Select library location
来源 ：,Source :
显示流派过滤器,Show Genre Filter
显示 年份 过滤器,Show Year Filter
没有设置,Not Set
搜索,Seek
联系中 ...,Contacting …
缓冲中,Buffering
设备,Device
容量,Capacity
可用,Available
转换文件出错,Error converting file
同步,Sync
其他,Other
空余空间,Free Space
设备名,Device name
人工管理,Manage manually
同步整个库,Sync entire library
Rockbox 设备,Rockbox Device
电池水平,Battery level
搜索 Amazon MP3 商店,Search the Amazon MP3 Store
打开图书,Open Book
作者 ：,Author :
图书标题 ：,Book Title :
作者 ：,Author
初始艺人,Author Initial
图书标题,Book Title
未设置书签,No Bookmark Set
正在检测 BPM,Detecting BPM
返回,Back
尝试重新连接,Try connecting again
登录,Login
清空,Clear
退出时清空,Clear on Quit
故障类型 ：,Problem Type :
修复吗 ？,Fix ?
打开网页,Open Webpage
重试,Try Again
创建者 ：,Creator :
会场 ：,Venue :
位置 ：,Location :
日期 ：,Date :
年代 ：,Year :
许可证网址 ：,Licence URL :
语言 ：,Language :
贡献者 ：,Contributor :
世系 ：,Lineage :
写您自己的评论,Write your own review
收集 ：,Collection :
可选查询,Optional Query
排序通过 ：,Sort by :
搜索 ...,Search …
诗集,Poetry
LibriVox 新曲,New From LibriVox
查理 · 卓别林,Charlie Chaplin
正在搜索互联网仓库,Searching the Internet Archive
获取更多,Fetch More
创建者,Creator
收藏,Collection
贡献者,Contributor
格式,Format
语言,Language
评论计数,Review Count
灵性 & 宗教,Spirituality & Religion
古登堡计划,Project Gutenberg
软件,Software
电台,Station
电台流派 ：,Station Genre :
电台名称 ：,Station Name :
流地址 ：,Stream URL :
电台创建者 ：,Station Creator :
评级 ：,Rating :
连接,Connect
帐户,Account
未知相似度,Unknown Similarity
类似于,Similar to
喜爱音轨,Love Track
全部播放次数,Total Play Count
新电台,New Station
混音,Mix
群名 ：,Group Name :
标签,Tag
标签名,Tag Name :
歌迷,Fan
类似,Similar
类似于 ：,Similar to :
现在播放,Now Playing
仍然运行中,Still Running
简化,Simplify
无法导入 CD,Cannot Import CD
导入 CD,Import CD
复制光盘,Duplicate CD
正在搜索音轨信息 ...,Searching for track information …
转到 菜单,Go to Menu
导航到菜单,Navigate to menu
之后播放,Play After
当前音轨,Current Track
当前专辑,Current Album
退出时清空播放队列,Clear the play queue when quitting
从播放队列中删除,Remove From Play Queue
新的,New
仓库,Archive
分类 ：,Category :
版权 ：,Copyright :
样本,Sample
开始 SQL 监视,Start SQL Monitoring
停止 SQL 监视,Stop SQL Monitoring
音轨预听,Track Preview
UPnP 共享,UPnP Share
打开环境菜单,open context menu
点击,click
所有,all
任何,any
属于以下的 ：,of the following :
之前,ago
之前,before
之后,after
多于,more than
音量,Volume
最大音量,Full Volume
颜色,Colour
固件,Firmware
MeeGo 支持,MeeGo Support
调试,Debug
正在播放 视图,Now Playing View
操作符,Operator
同步你的整个库,Sync Your Entire Library
互联网档案馆,Internet Archive
平均比特率,Average Bitrate
极好,Extreme
写入光盘 ...,Write CD ...
正在扫描 ...,Scanning ...
等待回放开始 ...,Waiting for playback to begin ...
正在停止 ...,Stopping ...
联系中 ...,Contacting ...
搜索 ...,Search ...
MTP 支持忽略设备,MTP Support Ignoring Device
管理封面图片,Manage cover art
退出 Banter,Quit Banter
Banter 帮助,Banter Help
关于 Banter,About Banter
退出,Quit
选择头像,Select an Avatar
更改头像,Change your avatar
点击更改头像,Click here to change your avatar
查找,Filter
所有人 - Banter,Everyone - Banter
执行移除操作,Done Removing
移除联系人,Remove People
Banter - 删除分组,Banter - Delete Group
本人,me
接受,Accept
拒接,Decline
开始文字聊天,Start a text chat
移除中 ...,Removing ...
服务器端口 ：,Server Port :
下线,Offline
退出,Away
实时协作工具,Real Time Collaboration Tool
服务器,Server
服务器端口,Server Port
自动登录,Auto Login
Telepathy 连接管理器,Telepathy connection manager
活动图,Active Chart
大小,Size
矩形树状结构图,Treemap Chart
主卷,Main volume
监视主文件夹,Monitor Home
扫描主文件夹,Scan Home
可用 ：,available :
放大,Zoom in
缩小,Zoom out
无法创建像素图图像 ！,Cannot create pixbuf image !
扫描,Scan
挂载点,Mount Point
总大小,Total Size
公共 FTP,Public FTP
可选信息 ：,Optional information :
连接到服务器,Connect to Server
2006年4月,April 2006
允许监视主目录,Enable monitoring of home
环形图,Ring chart
取消,Cancel
IM 查看器,IM Viewer
文件 ：,File :
电子邮件 ：,E-Mail :
移动电话 ：,Mobile Phone :
工作电话 ：,Work Phone :
宅电 ：,Home Phone :
电子邮件附件,Mail attachment
主题 ：,Subject :
寄给 ：,To :
来自 ：,From :
发送日期 ：,Date Sent :
手册页,Manual page
打开方式,Open With
网站 ：,Site :
打开,Open
明天,Tomorrow
选择路径,Select Path
删除路径,Remove path
删除项目,Remove item
类型,Type
路径 ：,Path :
