en-US,en-US_tags,en-US_source_type,en-US_collection_id,es,es_tags,es_source_type,es_collection_id,fr,fr_tags,fr_source_type,fr_collection_id,ja,ja_tags,ja_source_type,ja_collection_id,nan-TW,nan-TW_tags,nan-TW_source_type,nan-TW_collection_id,yue-HK,yue-HK_tags,yue-HK_source_type,yue-HK_collection_id,zh-CN,zh-CN_tags,zh-CN_source_type,zh-CN_collection_id,zh-TW,zh-TW_tags,zh-TW_source_type,zh-TW_collection_id
Add to Collection,collections.addToCollection,ai,1000000,Añadir a la colección,collections.addToCollection,ai,1000000,Ajouter à la collection,collections.addToCollection,ai,1000000,コレクションに追加,collections.addToCollection,ai,1000000,加到收藏,collections.addToCollection,ai,1000000,加入收藏,collections.addToCollection,ai,1000000,添加到收藏集,collections.addToCollection,ai,1000000,加入到收藏,collections.addToCollection,ai,1000000
Back to Collections,collections.back,ai,1000000,Volver a Colecciones,collections.back,ai,1000000,Retour aux collections,collections.back,ai,1000000,コレクションに戻る,collections.back,ai,1000000,倒轉去收藏,collections.back,ai,1000000,返回收藏,collections.back,ai,1000000,返回收藏列表,collections.back,ai,1000000,返回收藏列表,collections.back,ai,1000000
Browse expressions to add,collections.browseExpressions,ai,1000000,Explorar expresiones para añadir,collections.browseExpressions,ai,1000000,Parcourir les expressions à ajouter,collections.browseExpressions,ai,1000000,追加する表現を閲覧,collections.browseExpressions,ai,1000000,瀏覽語詞來加入,collections.browseExpressions,ai,1000000,瀏覽詞句加入,collections.browseExpressions,ai,1000000,去搜索并添加表达式,collections.browseExpressions,ai,1000000,去搜尋並增加表達式,collections.browseExpressions,ai,1000000
Create New Collection,collections.createNew,ai,1000000,Crear nueva colección,collections.createNew,ai,1000000,Créer une nouvelle collection,collections.createNew,ai,1000000,新しいコレクションを作成,collections.createNew,ai,1000000,建立新收藏,collections.createNew,ai,1000000,建立新收藏,collections.createNew,ai,1000000,+ 创建新收藏集,collections.createNew,ai,1000000,建立新收藏,collections.createNew,ai,1000000
New Collection,collections.createTitle,ai,1000000,Nueva colección,collections.createTitle,ai,1000000,Nouvelle collection,collections.createTitle,ai,1000000,新しいコレクション,collections.createTitle,ai,1000000,新收藏,collections.createTitle,ai,1000000,新收藏,collections.createTitle,ai,1000000,新建收藏集,collections.createTitle,ai,1000000,新建收藏集,collections.createTitle,ai,1000000
Created on,collections.createdOn,ai,1000000,Creado el,collections.createdOn,ai,1000000,Créé le,collections.createdOn,ai,1000000,作成日,collections.createdOn,ai,1000000,建立佇,collections.createdOn,ai,1000000,建立喺,collections.createdOn,ai,1000000,创建于,collections.createdOn,ai,1000000,建立於,collections.createdOn,ai,1000000
Delete Collection,collections.delete,ai,1000000,Eliminar colección,collections.delete,ai,1000000,Supprimer la collection,collections.delete,ai,1000000,コレクションを削除,collections.delete,ai,1000000,刪除收藏,collections.delete,ai,1000000,刪除收藏,collections.delete,ai,1000000,删除收藏集,collections.delete,ai,1000000,刪除收藏,collections.delete,ai,1000000
Are you sure you want to delete this collection?,collections.deleteConfirm,ai,1000000,¿Estás seguro de que quieres eliminar esta colección?,collections.deleteConfirm,ai,1000000,Êtes-vous sûr de vouloir supprimer cette collection ?,collections.deleteConfirm,ai,1000000,本当にこのコレクションを削除しますか？,collections.deleteConfirm,ai,1000000,汝確定欲刪掉這个收藏？,collections.deleteConfirm,ai,1000000,你確定要刪除呢個收藏？,collections.deleteConfirm,ai,1000000,您确定要删除这个收藏集吗？,collections.deleteConfirm,ai,1000000,您確定要刪除此收藏嗎？,collections.deleteConfirm,ai,1000000
What is this collection about?,collections.descPlaceholder,ai,1000000,¿De qué trata esta colección?,collections.descPlaceholder,ai,1000000,De quoi parle cette collection ?,collections.descPlaceholder,ai,1000000,このコレクションについて何ですか？,collections.descPlaceholder,ai,1000000,這個收藏是關於啥物？,collections.descPlaceholder,ai,1000000,呢個收藏係關於咩？,collections.descPlaceholder,ai,1000000,这个收藏集是关于什么的？,collections.descPlaceholder,ai,1000000,這個收藏集是關於什麼的？,collections.descPlaceholder,ai,1000000
Description,collections.description,ai,1000000,Descripción,collections.description,ai,1000000,Description,collections.description,ai,1000000,説明,collections.description,ai,1000000,說明,collections.description,ai,1000000,說明,collections.description,ai,1000000,描述,collections.description,ai,1000000,描述,collections.description,ai,1000000
Edit Collection,collections.editTitle,ai,1000000,Editar colección,collections.editTitle,ai,1000000,Modifier la collection,collections.editTitle,ai,1000000,コレクションを編集,collections.editTitle,ai,1000000,編輯收藏,collections.editTitle,ai,1000000,編輯收藏,collections.editTitle,ai,1000000,编辑收藏集,collections.editTitle,ai,1000000,編輯收藏集,collections.editTitle,ai,1000000
This collection is empty,collections.empty,ai,1000000,Esta colección está vacía,collections.empty,ai,1000000,Cette collection est vide,collections.empty,ai,1000000,このコレクションは空です,collections.empty,ai,1000000,這个收藏是空个,collections.empty,ai,1000000,呢個收藏係空嘅,collections.empty,ai,1000000,这个收藏集是空的,collections.empty,ai,1000000,這個收藏是空的,collections.empty,ai,1000000
Create your first collection to start organizing expressions.,collections.emptyInfo,ai,1000000,Crea tu primera colección para comenzar a organizar expresiones.,collections.emptyInfo,ai,1000000,Créez votre première collection pour commencer à organiser les expressions.,collections.emptyInfo,ai,1000000,最初のコレクションを作成して、表現を整理し始めましょう。,collections.emptyInfo,ai,1000000,建立汝个第一个收藏，開始整理語詞。,collections.emptyInfo,ai,1000000,建立你第一個收藏，開始整理詞句。,collections.emptyInfo,ai,1000000,创建您的第一个收藏集来开始管理表达式。,collections.emptyInfo,ai,1000000,建立您的第一個收藏集來開始管理表達式。,collections.emptyInfo,ai,1000000
Public access,collections.isPublic,ai,1000000,Acceso público,collections.isPublic,ai,1000000,Accès public,collections.isPublic,ai,1000000,公開アクセス,collections.isPublic,ai,1000000,公開瀏覽,collections.isPublic,ai,1000000,公開瀏覽,collections.isPublic,ai,1000000,公开访问,collections.isPublic,ai,1000000,公開存取,collections.isPublic,ai,1000000
items,collections.items,ai,1000000,elementos,collections.items,ai,1000000,éléments,collections.items,ai,1000000,アイテム,collections.items,ai,1000000,項目,collections.items,ai,1000000,項目,collections.items,ai,1000000,条目,collections.items,ai,1000000,項目,collections.items,ai,1000000
