ENTRY_ID,NOTE,LOCALE_cmn-Hans-CN,LOCALE_cmn-Hant-TW,LOCALE_eng-Latn-US,LOCALE_jpn-Jpan-JP,LOCALE_spa-Latn-ES
activity.expression,,添加了词句,新增了詞句,Added expression,表現を追加しました,Añadió una expresión
activity.handbook,,创建了手册,建立了手冊,Created handbook,ハンドブックを作成しました,Creó un manual
activity.mapping,,完成了映射,完成了對應,Mapped,対応付けを作成しました,Creó una correspondencia
activity.voteDown,,反对了一条映射,反對了一條對應,Downvoted a mapping,対応付けに反対しました,Votó en contra de una correspondencia
activity.voteUp,,赞成了一条映射,贊成了一條對應,Upvoted a mapping,対応付けに賛成しました,Votó a favor de una correspondencia
auth.email,,邮箱,電子郵件,Email,メールアドレス,Correo electrónico
auth.haveAccount,,已有账号？,已經有帳號了？,Already have an account?,すでにアカウントをお持ちですか？,¿Ya tienes cuenta?
auth.login,,登录,登入,Sign in,ログイン,Iniciar sesión
auth.noAccount,,还没有账号？,還沒有帳號？,Don't have an account?,アカウントをお持ちでないですか？,¿No tienes cuenta?
auth.operationFailed,,操作失败,操作失敗,Operation failed,操作に失敗しました,Operación fallida
auth.password,,密码,密碼,Password,パスワード,Contraseña
auth.processing,,处理中…,處理中…,Processing…,処理中…,Procesando…
auth.register,,创建账号,建立帳號,Create account,アカウント作成,Crear cuenta
auth.username,,用户名,使用者名稱,Username,ユーザー名,Nombre de usuario
autocomplete.noMatch,,无匹配结果,無符合項目,No match,一致する項目がありません,Sin coincidencias
common.cancel,,取消,取消,Cancel,キャンセル,Cancelar
common.close,,关闭,關閉,Close,閉じる,Cerrar
common.language,,语言,語言,Language,言語,Idioma
common.languages,,语言,語言,Languages,言語,Idiomas
common.loading,,加载中…,載入中…,Loading…,読み込み中…,Cargando…
common.search,,搜索,搜尋,Search,検索,Buscar
common.submit,,提交,提交,Submit,送信,Enviar
components.actualSize,,实际尺寸 100%,實際尺寸 100%,Actual size 100%,実際のサイズ 100%,Tamaño real 100%
components.anonymous,,匿名,匿名,Anonymous,匿名,Anónimo
components.avoidOverlap,,排列以避免重叠,排列以避免重疊,Arrange to avoid overlap,重なりを避けて配置,Organizar para evitar solapamientos
components.childNodes,,{count} 个子节点；点击收起,{count} 個子節點；點選收合,{count} child nodes; click to collapse,{count} 個の子ノード；クリックして折りたたむ,{count} nodos hijos; haz clic para colapsar
components.cliqueNote,,每条边皆为可投票的独立直接映射；低分映射自动收起,每條邊皆為可投票的獨立直接對應；低分對應自動收合,Each edge is an independent direct mapping that can be upvoted or downvoted; low-scoring mappings are collapsed.,各エッジは独立した直接関係で、賛成・反対の投票が可能です。低スコアの関係は自動的に折りたたまれます。,Cada arista es una relación directa independiente que se puede votar a favor o en contra; las relaciones con baja puntuación se colapsan.
components.cliqueTitle,,待建立的映射图谱,待建立的對應圖譜,Mapping graph to be created,作成する関係グラフ,Grafo de relaciones a crear
components.closeInfoPanel,,关闭信息面板,關閉資訊面板,Close information panel,情報パネルを閉じる,Cerrar panel de información
components.collapse,,收起,收合,Collapse,折りたたむ,Colapsar
components.collapseBranch,,收起子分支,收合子分支,Collapse child branch,子ノードを折りたたむ,Colapsar rama hija
components.collapseToFirst,,收起至第一层,收合至第一層,Collapse to first hop,最初の階層に折りたたむ,Colapsar al primer nivel
components.collapseToolbar,,收起图谱工具栏,收合圖譜工具列,Collapse graph toolbar,グラフツールバーを折りたたむ,Contraer la barra de herramientas del grafo
components.daysAgo,,{count} 天前,{count} 天前,{count} days ago,{count} 日前,Hace {count} días
components.depth,,深度 {depth},深度 {depth},Depth {depth},深さ {depth},Profundidad {depth}
components.directMappingList,,直接映射词句,直接對應詞句,Directly mapped expressions,直接関係のある表現,Expresiones con relación directa
components.downvote,,踩,倒讚,Downvote,反対,Votar en contra
components.edgeCount,,{count} 条边,{count} 條邊,{count} edges,{count} エッジ,{count} aristas
components.empty,,暂无数据,目前沒有資料,No data yet,データはまだありません,Aún no hay datos
components.evidence,,证据,證據,Evidence,根拠,Evidencia
components.exitFullscreen,,退出全屏,退出全螢幕,Exit fullscreen,全画面を終了,Salir de pantalla completa
components.expand,,展开,展開,Expand,展開,Expandir
components.expandAll,,全部展开,全部展開,Expand all,すべて展開,Expandir todo
components.expandBranch,,展开子分支,展開子分支,Expand child branch,子ノードを展開,Expandir rama hija
components.expandToolbar,,展开图谱工具栏,展開圖譜工具列,Expand graph toolbar,グラフツールバーを展開,Expandir la barra de herramientas del grafo
