nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
á | á-sī,á | á-sī,或 | 或是 | 還是,or
Lí chai á m̄ chai?,,你知道還是不知道？,Do you know or not?
Lí ài chia̍h Bí-kok hun á-sī Tâi-oân hun?,,你喜歡抽美國煙還是台灣煙？,Do you like to smoke American or Taiwanese cigarettes?
a,a,阿,a honorific prefix to names
a-chó͘ | lāi-chó͘,a-tsóo | lāi-tsóo,曾祖父 | 曾祖母,father's grandparents
"Lāu-pē ê a-kong, a-má hō-chò a-chó͘ (lāi-chó͘).",,父親的祖父，祖母叫做曾祖父（母）,A father’s grandfather or grandmother is called “[a-chó͘]” [(lāi-chó͘)].
a-chó͘ | gōa-chó͘,a-tsóo | guā-tsóo,曾祖父 | 曾祖母,mother's grandparents
"Lāu-bú ê a-kong, a-má ā-sī kiò-chò a-chó͘ (gōa-chó͘).",,母親的祖父，祖母也是叫做曾祖父（母）,A mother’s grandfather or grandmother is also called “[a-chó͘]” ([gōa-chó͘]).
a-kong | lāi-kong,a-kong | lāi-kong,爺爺 | 內祖父,
Lāu-pē ê lāu-pē kiò-chò a-kong.,,父親的父親叫做祖父（內祖父）,A father’s father is called [“a-kong”].
a-kong | gōa-kong,a-kong | guā-kong,公公 | 外祖父,
Lāu-bú ê lāu-pē kiò-chò gōa-kong.,,母親的父親叫做外祖父。,A mother’s father is called “[gōa-kong]”. (The natives very often omit the “[gōa]” here and simply say “[a-kong]”).
a-má | lāi-má,a-má | lāi-má,奶奶 | 內祖母,
Lāu-pē ê lāu-bú kiò-chò a-má (lāi-má).,,父親的母親叫做祖母（內祖母）,A father’s mother is called “[a-má]”.
a-mà | gōa-má,a-mà | guā-má,婆婆 | 外祖母,
Lāu-bú ê lāu-bú kiò-chò gōa-má.,,母親的母親叫做外祖母,A mother’s mother is called “[gōa-má]”. (The natives often omit the “[gōa]” and simply say “[a-má]”).
a-ko͘,a-koo,姑姑 | 姑母,
